Date,Open,High,Low,Close,Volume,Adj Close
2015-10-13,1107.44995,1111.00,1085.19995,1099.40002,7663400,1065.41657
2015-10-12,1199.00,1219.80005,1109.00,1122.90002,15202400,1088.19016
2015-10-09,1136.00,1172.90002,1136.00,1167.40002,5891000,1131.31463
2015-10-08,1136.40002,1149.59998,1126.05005,1132.15002,4540400,1097.15424
2015-10-07,1156.00,1168.75,1128.44995,1133.19995,4591200,1098.17171
2015-10-06,1187.05005,1192.55005,1148.09998,1154.59998,4355900,1118.91024
2015-10-05,1173.00,1189.34998,1162.00,1181.75,3440800,1145.22103
2015-10-02,1173.05005,1173.05005,1173.05005,1173.05005,000,1136.79001
2015-10-01,1169.90002,1197.75,1160.00,1173.05005,5432100,1136.79001
2015-09-30,1134.40002,1168.94995,1125.94995,1161.94995,4747800,1126.03302
2015-09-29,1102.00,1133.40002,1097.50,1121.84998,4349600,1087.17257
2015-09-28,1139.94995,1142.84998,1101.00,1105.55005,4894200,1071.37649
2015-09-25,1140.55005,1140.55005,1140.55005,1140.55005,000,1105.29461
2015-09-24,1113.50,1152.69995,1110.00,1140.55005,6699600,1105.29461
2015-09-23,1107.44995,1126.34998,1097.44995,1116.25,2379100,1081.7457
2015-09-22,1115.00,1135.94995,1101.09998,1107.44995,4813400,1073.21767
2015-09-21,1100.00,1108.84998,1092.50,1104.65002,2175600,1070.50429
2015-09-18,1111.80005,1117.90002,1099.05005,1104.44995,5788400,1070.3104
2015-09-17,1101.65002,1101.65002,1101.65002,1101.65002,000,1067.59702
2015-09-16,1108.00,1109.75,1098.30005,1101.65002,3739100,1067.59702
2015-09-15,1099.40002,1103.19995,1088.15002,1099.19995,2645900,1065.22268
2015-09-14,1099.00,1104.00,1082.65002,1099.75,3278500,1065.75573
2015-09-11,1091.55005,1106.40002,1085.50,1090.75,4941900,1057.03393
2015-09-10,1084.90002,1091.50,1061.00,1080.44995,4181500,1047.05226
2015-09-09,1087.09998,1099.59998,1072.00,1088.69995,4574300,1055.04725
2015-09-08,1062.00,1074.00,1052.30005,1058.80005,2729700,1026.07158
2015-09-07,1084.94995,1085.00,1055.00,1058.75,2590400,1026.02307
2015-09-04,1103.00,1111.00,1067.00,1073.94995,3659400,1040.75318
2015-09-03,1110.15002,1112.00,1092.50,1099.34998,4295200,1065.36807
2015-09-02,1098.00,1115.00,1090.00,1099.44995,5585900,1065.46495
2015-09-01,1090.00,1114.59998,1082.00,1089.00,4535700,1055.33802
2015-08-31,1134.84998,1134.84998,1082.50,1094.40002,4958500,1060.57112
2015-08-28,1101.59998,1124.90002,1101.59998,1111.05005,3604400,1076.70648
2015-08-27,1088.00,1100.09998,1078.05005,1082.80005,7671600,1049.32971
2015-08-26,1089.80005,1097.00,1059.00,1064.59998,5749100,1031.69222
2015-08-25,1100.00,1119.00,1044.50,1085.65002,6867500,1052.0916
2015-08-24,1109.94995,1123.00,1078.59998,1092.05005,7061300,1058.29379
2015-08-21,1140.90002,1160.94995,1117.50,1149.90002,5411000,1114.35557
2015-08-20,1159.00,1168.50,1128.00,1134.55005,4184500,1099.48008
2015-08-19,1170.00,1186.19995,1162.80005,1175.55005,3434700,1139.21273
2015-08-18,1150.00,1177.69995,1150.00,1164.34998,2075200,1128.35886
2015-08-17,1150.00,1153.44995,1122.50,1142.15002,1553700,1106.84513
2015-08-14,1165.00,1168.69995,1143.09998,1149.25,2554500,1113.72564
2015-08-13,1147.00,1166.84998,1055.55005,1158.00,4893900,1122.20517
