Date,Open,High,Low,Close,Volume,Adj Close
2016-07-08,2435.00,2442.05,2403.50,2426.60,1228100,2413.851
2016-07-07,2487.70,2491.85,2425.00,2429.80,1658400,2417.034
2016-07-06,2485.30,2485.30,2485.30,2485.30,000,2472.243
2016-07-05,2494.20,2497.05,2477.15,2485.30,779800,2472.243
2016-07-04,2516.00,2525.85,2482.00,2494.20,941700,2481.096
2016-07-01,2562.00,2564.60,2494.35,2500.85,1098600,2487.711
2016-06-30,2522.00,2562.90,2500.35,2553.10,2560900,2539.686
2016-06-29,2475.00,2512.50,2465.30,2502.90,1265600,2489.75
2016-06-28,2495.85,2502.90,2458.40,2463.95,2249700,2451.005
2016-06-27,2547.00,2547.00,2482.65,2495.85,2136200,2482.737
2016-06-24,2565.15,2593.20,2514.15,2573.95,1883200,2560.427
2016-06-23,2655.00,2659.50,2625.30,2645.35,698500,2631.452
2016-06-22,2650.00,2677.70,2631.75,2667.65,880800,2653.634
2016-06-21,2663.50,2665.00,2641.40,2651.20,513800,2637.271
2016-06-20,2602.60,2668.00,2591.80,2659.30,936400,2645.328
2016-06-17,2559.00,2610.00,2559.00,2602.60,939400,2588.926
2016-06-16,2545.55,2564.70,2516.45,2558.30,572500,2544.859
2016-06-15,2530.00,2564.90,2522.00,2556.85,635400,2543.417
2016-06-14,2558.95,2558.95,2518.25,2534.85,488700,2521.532
2016-06-13,2540.00,2553.35,2518.00,2547.00,514900,2533.618
2016-06-10,2566.00,2603.25,2553.20,2555.75,698400,2542.322
2016-06-09,2622.40,2622.40,2555.20,2577.25,781000,2563.71
2016-06-08,2617.25,2628.55,2605.50,2613.10,469100,2599.371
2016-06-07,2614.00,2639.00,2613.00,2631.15,601000,2617.326
2016-06-06,2620.50,2639.00,2603.20,2612.50,661000,2598.774
2016-06-03,2651.40,2658.00,2620.50,2629.55,777400,2588.877
2016-06-02,2600.00,2654.30,2600.00,2650.15,704300,2609.158
2016-06-01,2571.20,2645.00,2571.00,2633.55,955900,2592.815
2016-05-31,2640.00,2647.00,2562.00,2569.40,1861300,2529.657
2016-05-30,2583.00,2641.95,2582.00,2636.40,674700,2595.621
2016-05-27,2553.15,2579.85,2550.60,2572.65,552300,2532.857
2016-05-26,2530.00,2564.90,2505.10,2548.70,971600,2509.277
2016-05-25,2481.00,2532.95,2481.00,2526.45,774300,2487.371
2016-05-24,2484.00,2488.25,2459.60,2467.70,669500,2429.53
2016-05-23,2544.00,2545.90,2480.20,2491.45,766500,2452.913
2016-05-20,2542.30,2565.80,2522.80,2529.30,615400,2490.177
2016-05-19,2555.00,2560.00,2526.10,2556.95,519300,2517.40
2016-05-18,2565.85,2565.85,2526.05,2551.10,750300,2511.64
2016-05-17,2564.20,2591.25,2552.00,2570.20,878300,2530.445
2016-05-16,2538.00,2564.80,2522.50,2551.15,555700,2511.689
2016-05-13,2565.00,2566.00,2510.15,2523.40,810800,2484.368
2016-05-12,2520.55,2569.90,2520.55,2566.20,756500,2526.506
2016-05-11,2500.00,2525.60,2490.00,2518.30,799300,2479.347
