Year_Month_Day,URL
20080818,"http://timesofindia.indiatimes.com/2008/8/18/archivelist/year-2008,month-8,starttime-39678.cms"
20080819,"http://timesofindia.indiatimes.com/2008/8/19/archivelist/year-2008,month-8,starttime-39679.cms"
20080820,"http://timesofindia.indiatimes.com/2008/8/20/archivelist/year-2008,month-8,starttime-39680.cms"
20080821,"http://timesofindia.indiatimes.com/2008/8/21/archivelist/year-2008,month-8,starttime-39681.cms"
20080822,"http://timesofindia.indiatimes.com/2008/8/22/archivelist/year-2008,month-8,starttime-39682.cms"
20080823,"http://timesofindia.indiatimes.com/2008/8/23/archivelist/year-2008,month-8,starttime-39683.cms"
20080824,"http://timesofindia.indiatimes.com/2008/8/24/archivelist/year-2008,month-8,starttime-39684.cms"
20080825,"http://timesofindia.indiatimes.com/2008/8/25/archivelist/year-2008,month-8,starttime-39685.cms"
20080826,"http://timesofindia.indiatimes.com/2008/8/26/archivelist/year-2008,month-8,starttime-39686.cms"
20080827,"http://timesofindia.indiatimes.com/2008/8/27/archivelist/year-2008,month-8,starttime-39687.cms"
20080828,"http://timesofindia.indiatimes.com/2008/8/28/archivelist/year-2008,month-8,starttime-39688.cms"
20080829,"http://timesofindia.indiatimes.com/2008/8/29/archivelist/year-2008,month-8,starttime-39689.cms"
20080830,"http://timesofindia.indiatimes.com/2008/8/30/archivelist/year-2008,month-8,starttime-39690.cms"
20080831,"http://timesofindia.indiatimes.com/2008/8/31/archivelist/year-2008,month-8,starttime-39691.cms"
20080901,"http://timesofindia.indiatimes.com/2008/9/1/archivelist/year-2008,month-9,starttime-39692.cms"
20080902,"http://timesofindia.indiatimes.com/2008/9/2/archivelist/year-2008,month-9,starttime-39693.cms"
20080903,"http://timesofindia.indiatimes.com/2008/9/3/archivelist/year-2008,month-9,starttime-39694.cms"
20080904,"http://timesofindia.indiatimes.com/2008/9/4/archivelist/year-2008,month-9,starttime-39695.cms"
20080905,"http://timesofindia.indiatimes.com/2008/9/5/archivelist/year-2008,month-9,starttime-39696.cms"
20080906,"http://timesofindia.indiatimes.com/2008/9/6/archivelist/year-2008,month-9,starttime-39697.cms"
20080907,"http://timesofindia.indiatimes.com/2008/9/7/archivelist/year-2008,month-9,starttime-39698.cms"
20080908,"http://timesofindia.indiatimes.com/2008/9/8/archivelist/year-2008,month-9,starttime-39699.cms"
20080909,"http://timesofindia.indiatimes.com/2008/9/9/archivelist/year-2008,month-9,starttime-39700.cms"
